fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza,mx1,my1,mx2,my2,texto_matricula
1,Bus,0.9797577857971191,1,1404.608154296875,512.4739379882812,1920.0,512.4739379882812,,,,,,,,
1,Car,0.9014771580696106,2,1319.045166015625,370.7294616699219,1396.568359375,370.7294616699219,,,,,,,,
1,Car,0.38364940881729126,3,1232.5157470703125,346.39013671875,1281.5643310546875,346.39013671875,,,,,,,,
1,Person,0.2699359059333801,4,1232.5157470703125,346.39013671875,1281.5643310546875,346.39013671875,,,,,,,,
1,Person,0.2641851305961609,5,1232.5157470703125,346.39013671875,1281.5643310546875,346.39013671875,,,,,,,,
2,Bus,0.972118079662323,1,1400.45556640625,513.5971069335938,1919.994384765625,513.5971069335938,,,,,,,,
2,Car,0.9131200313568115,2,1317.4473876953125,370.8228454589844,1395.1505126953125,370.8228454589844,,,,,,,,
2,Car,0.339876264333725,3,1231.8758544921875,345.5153503417969,1281.5057373046875,345.5153503417969,,,,,,,,
2,Person,0.37760689854621887,4,1231.8758544921875,345.5153503417969,1281.5057373046875,345.5153503417969,,,,,,,,
3,Bus,0.9723554849624634,1,1399.4146728515625,511.4227294921875,1919.98291015625,511.4227294921875,,,,,,,,
3,Car,0.9118648767471313,2,1316.1376953125,371.0830383300781,1393.5618896484375,371.0830383300781,,,,,,,,
3,Car,0.273017019033432,3,1230.9781494140625,344.0129699707031,1279.240478515625,344.0129699707031,,,,,,,,
3,Person,0.5156822204589844,4,1230.9781494140625,344.0129699707031,1279.240478515625,344.0129699707031,,,,,,,,
3,Person,0.3468075096607208,5,1230.9781494140625,344.0129699707031,1279.240478515625,344.0129699707031,,,,,,,,
4,Bus,0.9650008082389832,1,1393.7137451171875,509.04302978515625,1919.982421875,509.04302978515625,,,,,,,,
4,Car,0.9164894819259644,2,1314.008056640625,371.12127685546875,1393.6051025390625,371.12127685546875,,,,,,,,
4,Car,0.3602297902107239,3,1231.121826171875,344.5559387207031,1278.9647216796875,344.5559387207031,,,,,,,,
4,Person,0.37253639101982117,4,1231.121826171875,344.5559387207031,1278.9647216796875,344.5559387207031,,,,,,,,
4,Person,0.20268423855304718,5,1231.121826171875,344.5559387207031,1278.9647216796875,344.5559387207031,,,,,,,,
5,Bus,0.9724260568618774,1,1395.1905517578125,506.1326904296875,1919.9884033203125,506.1326904296875,,,,,,,,
5,Car,0.9042019844055176,2,1313.1795654296875,370.80841064453125,1392.2061767578125,370.80841064453125,,,,,,,,
5,Car,0.31173059344291687,3,1231.3472900390625,344.4991455078125,1278.431640625,344.4991455078125,,,,,,,,
5,Person,0.35735154151916504,4,1231.3472900390625,344.4991455078125,1278.431640625,344.4991455078125,,,,,,,,
5,Person,0.22595681250095367,5,1231.3472900390625,344.4991455078125,1278.431640625,344.4991455078125,,,,,,,,
6,Bus,0.9759097695350647,1,1395.689697265625,501.7813415527344,1920.0,501.7813415527344,,,,,,,,
6,Car,0.8960731029510498,2,1312.9024658203125,370.1997375488281,1392.20849609375,370.1997375488281,,,,,,,,
6,Car,0.16861657798290253,3,1231.6807861328125,344.1961669921875,1276.16796875,344.1961669921875,,,,,,,,
6,Person,0.47626104950904846,4,1231.6807861328125,344.1961669921875,1276.16796875,344.1961669921875,,,,,,,,
6,Person,0.22163262963294983,5,1231.6807861328125,344.1961669921875,1276.16796875,344.1961669921875,,,,,,,,
7,Bus,0.9710059762001038,1,1395.053466796875,498.783935546875,1919.99609375,498.783935546875,,,,,,,,
7,Car,0.8882831931114197,2,1312.42236328125,370.0046081542969,1391.0262451171875,370.0046081542969,,,,,,,,
7,Car,0.2880241274833679,3,1230.8419189453125,344.54962158203125,1275.2242431640625,344.54962158203125,,,,,,,,
7,Person,0.3850362300872803,4,1230.8419189453125,344.54962158203125,1275.2242431640625,344.54962158203125,,,,,,,,
7,Person,0.1227349266409874,5,1230.8419189453125,344.54962158203125,1275.2242431640625,344.54962158203125,,,,,,,,
8,Bus,0.9689123034477234,1,1391.8541259765625,497.3939514160156,1920.0,497.3939514160156,,,,,,,,
8,Car,0.8775378465652466,2,1311.9779052734375,369.54754638671875,1389.486083984375,369.54754638671875,,,,,,,,
8,Car,0.29462334513664246,3,1230.0386962890625,344.80743408203125,1273.5506591796875,344.80743408203125,,,,,,,,
8,Person,0.38069045543670654,4,1230.0386962890625,344.80743408203125,1273.5506591796875,344.80743408203125,,,,,,,,
9,Bus,0.9615160226821899,1,1390.61767578125,497.3597717285156,1919.9908447265625,497.3597717285156,,,,,,,,
9,Car,0.8490760922431946,2,1311.76318359375,369.1447448730469,1388.6978759765625,369.1447448730469,,,,,,,,
9,Car,0.2956695258617401,3,1229.6473388671875,345.17950439453125,1274.609375,345.17950439453125,,,,,,,,
9,Person,0.31804776191711426,4,1229.6473388671875,345.17950439453125,1274.609375,345.17950439453125,,,,,,,,
10,Bus,0.9661461114883423,1,1388.95166015625,493.24432373046875,1919.977294921875,493.24432373046875,,,,,,,,
10,Car,0.898057222366333,2,1310.8831787109375,368.81884765625,1387.2801513671875,368.81884765625,,,,,,,,
10,Car,0.3469173312187195,3,1229.4669189453125,344.4561767578125,1273.2464599609375,344.4561767578125,,,,,,,,
10,Person,0.2905576229095459,4,1229.4669189453125,344.4561767578125,1273.2464599609375,344.4561767578125,,,,,,,,
11,Bus,0.955558717250824,1,1386.0377197265625,487.6587219238281,1919.9886474609375,487.6587219238281,,,,,,,,
11,Car,0.8878495693206787,2,1310.155517578125,368.20989990234375,1385.76220703125,368.20989990234375,,,,,,,,
11,Car,0.3455614745616913,3,1229.401611328125,344.50390625,1272.1697998046875,344.50390625,,,,,,,,
11,Person,0.2272864431142807,4,1229.401611328125,344.50390625,1272.1697998046875,344.50390625,,,,,,,,
